Anon!	Goodbye!
Good sister, wrong me not nor wrong yourself, To make a bondmaid and a slave of me.	My sister, you’re not wrong to make me a slave and a bondmaid.
Thou shalt not choose but go.	You’ll not have to go.
Not that I love you not.	Not that I don’t love you.
Proculeius, What thou hast done thy master Caesar knows, And he hath sent for thee.	Proculeius, what your master Caesar knows, and he sent for you.
What shall I do?	What should I do?
Fare thee well!	Goodbye!
Make haste, I say.	Hurry up, I say.
What, in my sight?—Bianca, get thee in.	What, in my sight?—Bianca, get in.
Death’s the end of all.	Death is the end of all.
They will scarcely believe this without trial.	They’ll be tempted to believe this without trial.
How prove you that in the great heap of your knowledge?	How do you prove that in the vast amount of your knowledge?
Is the sword unswayed?	Is the sword unwayed?
They bleed on both sides.—How is it, my lord?	They’re bleeding on both sides.—How is it, my lord?
But indeed an old religious uncle of mine taught me to speak, who was in his youth an inland man, one that knew courtship too well, for there he fell in love.	But my uncle taught me to speak, who was a man in his youth who knew too well about courtship, because there he fell in love.
But we will draw the curtain and show you the picture.	But we’ll draw the curtain and show you the picture.
When we our betters see bearing our woes, We scarcely think our miseries our foes.	When we see our betters bear our sorrows, we don’t think our misfortunes are our foes.
Speak, I’ll go no further.	Speak, I won’t go any further.
Here comes the herald of the French, my liege.	Here comes the herald of the French, my liege.
My duty hushes me.	My duty is hushed.
I will give you the minstrel.	I’ll give you the minstrel.
Foolish curs, that run winking into the mouth of a Russian bear and have their heads crushed like rotten apples.	Foolish slurs that run into a Russian bear’s mouth and have their heads crushed like rotten apples.
I never gave him any.	I never gave him any.
We have engaged ourselves too far.	We’ve been too far.
And how like you this shepherd’s life, Master Touchstone?	And how are you, Master Touchstone, living this shepherd?
Which in his dearest need will fly from him.	Which in his most precious need will fly from him.
The death of Antony Is not a single doom.	Antony’s death isn’t a single crime.
But art thou not advised, he took some care To get her cunning schoolmasters to instruct her?	But you didn’t advise him, but he took care of getting her to be taught by the sane schoolmasters?
Tis fittest.	It’s the best thing to do.
But thou art not quickly moved to strike.	But you’ve not been able to strike quickly.
Pray, have you not a daughter Called Katherina, fair and virtuous?	Do you have a daughter named Katherina, fair and virtuous?
Switch and spurs, switch and spurs, or I’ll cry a match.	Switch and spurs, switch and spurs, or I’ll cry a match.
If you will take a homely man’s advice, Be not found here.	If you want to take a homely man’s advice, don’t be found here.
Good day to both of you.	Good day to both of you.
God’s will and His pleasure, Captain, I beseech you now, come apace to the king.	God’s will and pleasure, Captain, I beg you now to come to the king.
Hence, prating peasant!	Go on, scolding peasant!
Yet say I, he is in love.	But say I, he’s in love.
Not black in my mind, though yellow in my legs.	I’m not black, even though my legs are yellow.
Oh!	Oh!
Do not break off so, For we may pity though not pardon thee.	Don’t break it off, because we can pity you, even if we don’t pardon you.
Sure, it was the roar Of a whole herd of lions.	It was the roar of a whole herd of lions.
Why, by making him uncapable of Othello’s place: knocking out his brains.	Why, by making him uncapable of Othello’s place, knocking out his brains.
How old art thou?	How old are you?
Peter, didst ever see the like?	Peter, did you see the same thing ever?
They vanished strangely.	They vanished strangely.
My industrious servant, Ariel!	My devoted servant, Ariel!
No, lady.	No, lady.
By my sword, Beatrice, thou lovest me.	By my sword, Beatrice, you love me.
Oh, it offends me to the soul to hear a robustious periwig-pated fellow tear a passion to tatters, to very rags, to split the ears of the groundlings, who for the most part are capable of nothing but inexplicable dumb-shows and noise.	Oh, it offends me to hear a prank-pated fellow tear a passion to tatters, to very rags, to split the ears of the groundlings, who are capable of nothing
I will desire you to live in the meantime and eat your victuals.	I’d like you to live in the meantime and eat your victuals.
Lesser than Macbeth and greater.	Less than Macbeth and greater.
Why, art thou mad, old fellow?	Why, are you crazy, old fellow?
First, of my word!	First of all, my word!
Thy loving father, Hamlet.	Hamlet, your loving father.
I’ll ask them.	I’ll ask them.
After a little time, I’ll beat him too.	After a little time, I’ll beat him too.
Mark the music.	Listen to the music.
Whom should I knock?	Whom should I knock?
All the pictures fairest lined Are but black to Rosalind.	All the pictures that are the most beautiful are black to Rosalind.
Hoo!	Hooray!
O, rejoice Beyond a common joy, and set it down With gold on lasting pillars.	Oh, rejoice beyond a common joy, and set it down with gold on long pillars.
Good morrow, friends.	Good morning, friends.
And thy father Was Duke of Milan, and thou his only heir And princess no worse issued.	And your father was Duke of Milan, and you were his only heir and princess.
Come, civil night, Thou sober-suited matron, all in black, And learn me how to lose a winning match Played for a pair of stainless maidenhoods.	Come, civil night, you handsome matron, all in black, and learn how to lose a winning match played for a pair of stainless-steel-trained women.
Romeo, he cries aloud, “Hold, friends!	Romeo, he cries, “Hold, friends!
Come one more.	Come on, one more.
Ay, are you thereabouts?	Yes, are you there?
If it will not, what remedy?	If it doesn’t, what remedy?
No more than from my soul I mourn for yours.	I’m not mourning yours more than I mourn from my soul.
Sister, where thou?	Sister, where are you?
I was killed i' th' Capitol.	I was killed in the Capitol.
Were you by when it began?	Did you come here when it started?
What, are Ancient Pistol and you friends yet?	Are you and Pistol friends yet?
Zounds, who is there?	Zounds, who’s there?
These be the Christian husbands.	These are the Christian husbands.
O momentary grace of mortal men, Which we more hunt for than the grace of God!	Oh, the precious grace of mortal men, which we’re more searching for than the grace of God!
O happy horse, to bear the weight of Antony!	Oh, happy horse, to bear the weight of Antony!
Do you not hear me speak?	Don’t you hear me speak?
O brave touch!	Oh, what a brave touch!
You know not how to choose a man.	You don’t know how to choose a man.
Hearty thanks.	Thank you very much.
I grant I am a woman, but withal A woman well-reputed, Cato’s daughter.	I’m sure I’m a woman, but I’m a woman well-known, Cato’s daughter.
Ten masts at each make not the altitude Which thou hast perpendicularly fell.	Each of the ten masts is different from the altitude you have fallen perpendiculairely.
I do not desire he should answer for me, and yet I determine to fight lustily for him.	I don’t want him to answer for me, and yet I’m determined to fight lustfully for him.
What need’st thou run so many mile about When thou mayst tell thy tale the nearest way?	What should you run so many miles about when you can tell your story the nearest way?
